pr_number,pr_url,title,phase,merged_at_utc,additions,deletions,changed_files,session_count,session_aliases,api_calls,ai_credits,pr_activity_start_utc,pr_activity_end_utc,attributed_elapsed_seconds,measured_active_ai_seconds,allocated_active_ai_seconds_estimate,models,telemetry_status,attribution_confidence,what_changed,why_it_mattered,verified_outcome,notes
1,https://github.com/samqbush/adempiere2/pull/1,Phase 1: establish reproducible Gradle core gate and modernization baseline,Build and runtime foundation,2026-08-20T21:20:40Z,7417,194,87,2,CLI-001|CLI-002,137,375,2026-08-20T19:47:46.163Z,2026-08-20T20:57:04.562Z,3256.013,1236.338,0,claude-opus-5|gpt-5.6-sol,measured_cli,direct|strong_inferred,"Made the core build repeatable by adding a pinned Gradle wrapper, dependency verification, lockfiles, real test discovery, publication checks, and a software bill of materials.",A future change could now be judged against a reproducible baseline instead of a machine-specific build.,"Recorded 832 Gradle tests, 1,075 Ant tests, strict dependency verification, publication checks, and mutation detection.",
2,https://github.com/samqbush/adempiere2/pull/2,Phase 2: JDK 21 runtime modernization and reproducible build stabilization,Build and runtime foundation,2026-08-21T14:41:35Z,4235,624,97,1,CLI-003,462,462,2026-08-20T21:22:59.277Z,2026-08-20T22:42:04.373Z,4745.096,4825.286,0,claude-sonnet-5|gpt-5.4|gpt-5.6-sol,measured_cli,strong_inferred,"Moved the Gradle modules and runtime path to JDK 21, replaced unsupported JDK internals, and added database, desktop, scheduler, installer, LDAP, and Tomcat compatibility checks.","This removed the main runtime-age blocker while proving that core login, processing, scheduling, and database behavior still worked.","Recorded 863 Gradle tests, 1,387 Ant tests, PostgreSQL restore/migration, Swing login/menu/process, scheduler, and Tomcat 9 smoke evidence.",
3,https://github.com/samqbush/adempiere2/pull/3,"Phase 3 installed distribution: guardrails, metadata validation, and install smoke",Build and runtime foundation,2026-08-21T20:42:16Z,2112,226,53,2,CLI-004|CLI-005,287,553,2026-08-21T14:44:54.858Z,2026-08-21T20:42:17.780Z,19473.537,2356.311,0,claude-opus-5|gpt-5.6-sol,measured_cli,direct|strong_inferred,"Created a guarded full-product build and install lifecycle with disposable database protection, metadata validation, installer checks, and installed-product smoke coverage.",The project moved from compiling libraries to proving that a complete ADempiere distribution could be assembled and started safely.,Installed-distribution and metadata gates became the foundation for later API and web runtime tests.,
4,https://github.com/samqbush/adempiere2/pull/4,Phase 4 API edge modernization: XFire-free web-service seam and contract evidence,API modernization,2026-08-22T13:05:03Z,4649,46,40,2,CLI-006|CLI-007,200,342.610000222921,2026-08-21T20:43:37.609Z,2026-08-22T12:56:57.810Z,9034.712,2146.031,0,claude-haiku-4.5|claude-opus-4.8|claude-sonnet-4.6|gpt-5.6-sol,measured_cli,direct|strong_inferred,Captured the existing SOAP contracts and introduced an XFire-free service seam and test evidence without yet removing the legacy runtime.,Freezing the external API behavior made it possible to replace obsolete technology without asking integrations to change unexpectedly.,"WSDL, HTTP, routing, and round-trip evidence established the migration oracle.",
5,https://github.com/samqbush/adempiere2/pull/5,Phase 4 API edge modernization completion,API modernization,2026-08-24T12:54:42Z,10663,3513,289,2,CLI-008|CLI-009,1110,3879.110000878572,2026-08-22T13:07:27.252Z,2026-08-23T17:36:26.104Z,23582.57,10106.232000000002,0,claude-opus-4.8|claude-opus-5|claude-sonnet-5|gpt-5.4-mini|gpt-5.6-sol,measured_cli,direct|strong_inferred,"Completed the SOAP replacement with a CXF/Jakarta runtime, compatibility routing, installed-product packaging, security scenarios, and removal of active XFire assets.",Customers and integrations could keep the established SOAP contract while the unsupported implementation underneath it was replaced.,The modern runtime replayed 33 operation baselines and security/mutation scenarios through the installed product.,
6,https://github.com/samqbush/adempiere2/pull/6,Phase 5a: establish web inventory and Jakarta target,Web migration foundation,2026-08-24T16:54:17Z,1882,62,21,1,CLI-010,155,729,2026-08-24T12:56:05.380Z,2026-08-24T15:42:46.819Z,10001.439,1864.693,0,claude-opus-5|claude-sonnet-5|gpt-5.6-sol,measured_cli,direct,"Inventoried ZK source, web assets, namespaces, descriptors, and routes, then selected checksum-pinned ZK CE 10.3.0.1-jakarta as the target.",The web migration gained a complete map and a legally usable public target instead of relying on a risky blanket namespace rewrite.,Database-neutral inventory and target verification passed while runtime behavior remained unchanged.,
7,https://github.com/samqbush/adempiere2/pull/7,Phase 5b: freeze the legacy Tomcat 9 web oracle and pin legacy web artifacts,Web migration foundation,2026-08-25T01:09:40Z,25381,7,131,2,CLI-011|CLI-012,223,3233,2026-08-24T16:58:17.401Z,2026-08-25T00:14:58.749Z,7426.429,2225.676,0,claude-opus-5|gpt-5.6-sol,measured_cli,direct|strong_inferred,Froze the legacy Tomcat 9/ZK 3.6 web behavior and deployable artifacts as a rollback and comparison oracle.,"Once the old web framework changed, this evidence preserved the answer to 'what did the application do before?' for login, menu, sessions, routes, and packaging.","The oracle covered six WARs, the login/role/menu/logout flow, 82 reviewed request vectors, exclusions, digests, and pinned runtime coordinates.",
8,https://github.com/samqbush/adempiere2/pull/8,Phase 5c: add Jakarta web packaging beachhead,Web migration foundation,2026-08-25T13:28:41Z,2171,28,41,2,CLI-013|CLI-014,518,602,2026-08-25T01:10:28.777Z,2026-08-25T13:14:25.757Z,14794.642,3547.613,0,claude-opus-4.8|claude-sonnet-5|gpt-5.6-luna|gpt-5.6-sol,measured_cli,direct|strong_inferred,Added an isolated Jakarta packaging beachhead and rollback tooling beside the unchanged legacy web product.,This created a reversible place to begin the web migration without forcing an unsafe all-at-once cutover.,"The packaging overlay, browser artifacts, legacy replay, and rollback contracts were verified.",
9,https://github.com/samqbush/adempiere2/pull/9,Complete Phase 5d ZK functional slice,Web migration foundation,2026-08-26T01:23:28Z,11350,2288,262,2,CLI-015|CLI-016,143,1263,2026-08-25T13:31:19.676Z,2026-08-25T21:04:57.955Z,4664,1676.391,0,claude-opus-5|claude-sonnet-5|gpt-5.6-luna|gpt-5.6-sol,measured_cli,strong_inferred,"Turned the beachhead into a functional ZK CE 10 slice supporting login, role selection, menus, and a read-only business window on Tomcat 10.",Business users could reach a real modern UI path while the team proved that it did not accidentally change database state or break SOAP.,"The modern slice matched 11 comparable legacy semantic facts, produced zero writes, and replayed the SOAP corpus during an authenticated session.",
10,https://github.com/samqbush/adempiere2/pull/10,Phase 5e: cohort routing and modern web session handoff,Web migration foundation,2026-08-27T15:14:50Z,13815,68,102,2,CLI-017|CLI-018,1683,14927,2026-08-26T01:34:34.205Z,2026-08-27T14:59:02.894Z,97807.318,16777.132,0,claude-opus-5|claude-sonnet-4.6|gpt-5.6-luna|gpt-5.6-sol,measured_cli,direct|strong_inferred,Added fail-closed cohort routing and secure session handoff from the public Tomcat 9 entry point to selected users on Tomcat 10.,"The application could introduce the modern UI gradually, preserve one public URL, isolate user identities, and fall back safely only where explicitly allowed.","A 23-row routed matrix covered identities, logout, timeout, container cleanup, re-decision, and SOAP coexistence.",
